Invoice ID,City,Customer type,Gender,Product line,Total,Date,Time,Payment,gross income,Rating,Day,Day Name,Day of the Month
744-09-5786,Mandalay,Normal,Male,Electronic accessories,138.663,2019-01-02,18:50,Cash,6.603,7.6,3,Wed,02
670-71-7306,Mandalay,Normal,Male,Sports and travel,281.169,2019-01-02,20:08,Credit card,13.389,5.1,3,Wed,02
343-87-0864,Naypyitaw,Member,Male,Health and beauty,79.674,2019-01-03,10:30,Credit card,3.794,7.1,4,Thu,03
249-42-3782,Yangon,Normal,Male,Health and beauty,367.5525,2019-01-03,11:36,Ewallet,17.5025,5.5,4,Thu,03
749-24-1565,Yangon,Normal,Female,Health and beauty,217.6335,2019-01-03,12:02,Ewallet,10.3635,7.9,4,Thu,03
875-31-8302,Mandalay,Normal,Male,Sports and travel,98.049,2019-01-03,13:07,Cash,4.669,9.6,4,Thu,03
422-29-8786,Yangon,Normal,Female,Home and lifestyle,352.2225,2019-01-03,16:47,Credit card,16.7725,9.1,4,Thu,03
552-44-5977,Mandalay,Member,Male,Health and beauty,520.8,2019-01-03,19:08,Credit card,24.8,6.2,4,Thu,03
687-15-1097,Naypyitaw,Member,Female,Health and beauty,44.352,2019-01-03,19:17,Cash,2.112,9.7,4,Thu,03
501-61-1753,Mandalay,Normal,Female,Home and lifestyle,397.845,2019-01-03,20:24,Ewallet,18.945,9.8,4,Thu,03
132-23-6451,Yangon,Member,Male,Health and beauty,110.0925,2019-01-04,13:21,Cash,5.2425,7.8,5,Fri,04
656-16-1063,Mandalay,Normal,Male,Sports and travel,146.223,2019-01-04,13:24,Credit card,6.963,4.4,5,Fri,04
731-14-2199,Yangon,Member,Female,Home and lifestyle,373.17,2019-01-04,13:34,Ewallet,17.77,7.0,5,Fri,04
672-51-8681,Naypyitaw,Member,Female,Electronic accessories,629.8425,2019-01-04,18:19,Credit card,29.9925,9.7,5,Fri,04
725-32-9708,Mandalay,Member,Female,Fashion accessories,288.582,2019-01-04,19:01,Cash,13.742,4.1,5,Fri,04
279-74-2924,Mandalay,Member,Male,Electronic accessories,75.7785,2019-01-04,19:40,Cash,3.6085,6.1,5,Fri,04
217-58-1179,Yangon,Member,Male,Home and lifestyle,263.13,2019-01-05,11:25,Cash,12.53,4.2,6,Sat,05
339-12-4827,Mandalay,Member,Female,Fashion accessories,77.658,2019-01-05,11:32,Credit card,3.698,5.0,6,Sat,05
489-82-1237,Yangon,Normal,Female,Electronic accessories,690.018,2019-01-05,11:51,Credit card,32.858,7.3,6,Sat,05
573-98-8548,Naypyitaw,Member,Female,Fashion accessories,33.495,2019-01-05,12:40,Ewallet,1.595,9.1,6,Sat,05
750-67-8428,Yangon,Member,Female,Health and beauty,548.9715,2019-01-05,13:08,Ewallet,26.1415,9.1,6,Sat,05
144-51-6085,Yangon,Member,Male,Home and lifestyle,297.108,2019-01-05,16:05,Credit card,14.148,4.4,6,Sat,05
209-61-0206,Yangon,Normal,Female,Home and lifestyle,225.2775,2019-01-05,17:29,Ewallet,10.7275,6.1,6,Sat,05
433-08-7822,Naypyitaw,Normal,Female,Health and beauty,579.8415,2019-01-05,19:48,Ewallet,27.6115,7.5,6,Sat,05
843-01-4703,Mandalay,Member,Female,Home and lifestyle,334.341,2019-01-05,19:50,Credit card,15.921,9.6,6,Sat,05
801-88-0346,Naypyitaw,Normal,Female,Fashion accessories,239.589,2019-01-05,20:30,Credit card,11.409,9.8,6,Sat,05
841-18-8232,Mandalay,Normal,Female,Food and beverages,74.76,2019-01-05,20:40,Credit card,3.56,9.2,6,Sat,05
628-34-3388,Naypyitaw,Normal,Male,Fashion accessories,172.494,2019-01-05,20:54,Credit card,8.214,7.9,6,Sat,05
490-29-1201,Yangon,Normal,Female,Sports and travel,16.107,2019-01-06,11:09,Cash,0.767,6.5,0,Sun,06
729-06-2010,Mandalay,Member,Male,Health and beauty,760.4415,2019-01-06,11:18,Cash,36.2115,9.2,0,Sun,06
704-11-6354,Yangon,Member,Male,Home and lifestyle,494.76,2019-01-06,11:23,Cash,23.56,8.9,0,Sun,06
846-10-0341,Yangon,Normal,Female,Fashion accessories,312.8895,2019-01-06,11:51,Cash,14.8995,6.8,0,Sun,06
834-25-9262,Naypyitaw,Normal,Female,Fashion accessories,343.056,2019-01-06,12:12,Cash,16.336,9.1,0,Sun,06
393-65-2792,Naypyitaw,Normal,Male,Food and beverages,939.54,2019-01-06,12:46,Credit card,44.74,9.6,0,Sun,06
852-82-2749,Yangon,Normal,Male,Sports and travel,271.278,2019-01-06,13:35,Ewallet,12.918,9.3,0,Sun,06
662-72-2873,Yangon,Normal,Female,Food and beverages,214.935,2019-01-06,13:58,Ewallet,10.235,9.9,0,Sun,06
826-58-8051,Mandalay,Normal,Male,Home and lifestyle,261.198,2019-01-06,19:46,Ewallet,12.438,4.3,0,Sun,06
126-54-1082,Yangon,Member,Female,Home and lifestyle,203.553,2019-01-07,11:44,Credit card,9.693,8.8,1,Mon,07
541-48-8554,Yangon,Normal,Male,Sports and travel,575.9775,2019-01-07,12:08,Credit card,27.4275,6.0,1,Mon,07
889-04-9723,Mandalay,Member,Female,Food and beverages,374.388,2019-01-07,12:20,Credit card,17.828,7.8,1,Mon,07
232-16-2483,Naypyitaw,Member,Female,Sports and travel,71.526,2019-01-07,12:28,Ewallet,3.406,6.8,1,Mon,07
390-31-6381,Naypyitaw,Normal,Male,Food and beverages,85.743,2019-01-07,12:37,Cash,4.083,7.3,1,Mon,07
109-28-2512,Mandalay,Member,Female,Fashion accessories,614.943,2019-01-07,15:01,Ewallet,29.283,9.9,1,Mon,07
799-71-1548,Yangon,Member,Male,Electronic accessories,326.424,2019-01-07,16:11,Credit card,15.544,8.8,1,Mon,07
526-86-8552,Naypyitaw,Member,Female,Home and lifestyle,229.11,2019-01-07,17:36,Cash,10.91,7.1,1,Mon,07
566-19-5475,Mandalay,Normal,Male,Fashion accessories,352.5795,2019-01-07,20:52,Cash,16.7895,6.2,1,Mon,07
442-44-6497,Naypyitaw,Member,Male,Home and lifestyle,175.0455,2019-01-08,11:42,Credit card,8.3355,5.9,2,Tue,08
767-97-4650,Mandalay,Member,Female,Sports and travel,136.143,2019-01-08,11:59,Credit card,6.483,8.0,2,Tue,08
387-49-4215,Mandalay,Member,Female,Sports and travel,152.775,2019-01-08,12:50,Cash,7.275,6.7,2,Tue,08
241-96-5076,Mandalay,Member,Female,Home and lifestyle,103.11,2019-01-08,12:58,Credit card,4.91,6.4,2,Tue,08
674-15-9296,Yangon,Normal,Male,Sports and travel,194.985,2019-01-08,13:05,Ewallet,9.285,5.0,2,Tue,08
750-57-9686,Naypyitaw,Normal,Female,Home and lifestyle,190.596,2019-01-08,13:48,Credit card,9.076,8.7,2,Tue,08
192-98-7397,Naypyitaw,Normal,Male,Fashion accessories,13.419,2019-01-08,14:11,Ewallet,0.639,9.5,2,Tue,08
490-95-0021,Mandalay,Member,Female,Food and beverages,348.705,2019-01-08,14:25,Ewallet,16.605,6.0,2,Tue,08
124-31-1458,Yangon,Member,Female,Electronic accessories,250.7085,2019-01-08,14:30,Cash,11.9385,6.6,2,Tue,08
663-86-9076,Naypyitaw,Member,Female,Food and beverages,575.736,2019-01-08,15:57,Ewallet,27.416,8.5,2,Tue,08
189-08-9157,Naypyitaw,Normal,Female,Fashion accessories,299.8485,2019-01-08,16:17,Credit card,14.2785,5.9,2,Tue,08
257-60-7754,Yangon,Normal,Female,Electronic accessories,210.966,2019-01-08,17:12,Cash,10.046,9.0,2,Tue,08
840-76-5966,Yangon,Member,Male,Sports and travel,26.796,2019-01-08,18:06,Ewallet,1.276,7.8,2,Tue,08
457-13-1708,Mandalay,Member,Male,Fashion accessories,684.915,2019-01-08,19:07,Credit card,32.615,5.2,2,Tue,08
631-34-1880,Naypyitaw,Member,Male,Food and beverages,76.5765,2019-01-08,19:09,Credit card,3.6465,4.3,2,Tue,08
845-94-6841,Naypyitaw,Member,Female,Food and beverages,688.716,2019-01-08,19:38,Cash,32.796,4.0,2,Tue,08
484-22-8230,Naypyitaw,Member,Female,Fashion accessories,381.3915,2019-01-08,20:08,Cash,18.1615,4.5,2,Tue,08
571-94-0759,Mandalay,Member,Female,Food and beverages,783.3,2019-01-08,20:55,Cash,37.3,9.5,2,Tue,08
189-40-5216,Naypyitaw,Normal,Male,Electronic accessories,708.3195,2019-01-09,11:40,Cash,33.7295,6.0,3,Wed,09
867-47-1948,Naypyitaw,Normal,Female,Home and lifestyle,165.9,2019-01-09,12:07,Cash,7.9,7.8,3,Wed,09
288-62-1085,Yangon,Member,Male,Fashion accessories,202.335,2019-01-09,13:34,Ewallet,9.635,5.6,3,Wed,09
554-42-2417,Naypyitaw,Normal,Female,Sports and travel,1002.12,2019-01-09,13:45,Cash,47.72,5.2,3,Wed,09
370-96-0655,Naypyitaw,Normal,Female,Fashion accessories,310.716,2019-01-09,13:46,Ewallet,14.796,7.1,3,Wed,09
263-10-3913,Naypyitaw,Member,Male,Fashion accessories,463.428,2019-01-09,14:20,Credit card,22.068,8.6,3,Wed,09
343-75-9322,Mandalay,Member,Female,Sports and travel,99.54,2019-01-09,16:34,Cash,4.74,4.1,3,Wed,09
305-89-2768,Mandalay,Member,Female,Home and lifestyle,68.985,2019-01-09,18:43,Ewallet,3.285,4.7,3,Wed,09
887-42-0517,Naypyitaw,Normal,Female,Sports and travel,611.079,2019-01-10,10:31,Credit card,29.099,6.6,4,Thu,10
241-11-2261,Mandalay,Normal,Female,Fashion accessories,586.971,2019-01-10,10:33,Credit card,27.951,5.5,4,Thu,10
226-34-0034,Mandalay,Normal,Female,Electronic accessories,57.876,2019-01-10,11:10,Ewallet,2.756,9.0,4,Thu,10
603-07-0961,Naypyitaw,Member,Male,Electronic accessories,392.6475,2019-01-10,11:34,Cash,18.6975,4.9,4,Thu,10
744-02-5987,Yangon,Member,Male,Home and lifestyle,493.794,2019-01-10,14:16,Ewallet,23.514,5.8,4,Thu,10
640-49-2076,Mandalay,Normal,Male,Sports and travel,703.752,2019-01-10,14:49,Cash,33.512,5.1,4,Thu,10
873-51-0671,Yangon,Member,Female,Sports and travel,161.553,2019-01-10,16:42,Ewallet,7.693,5.1,4,Thu,10
665-32-9167,Yangon,Member,Female,Health and beauty,76.146,2019-01-10,17:15,Credit card,3.626,7.2,4,Thu,10
577-34-7579,Naypyitaw,Member,Male,Food and beverages,477.1305,2019-01-10,17:16,Cash,22.7205,5.4,4,Thu,10
289-15-7034,Yangon,Member,Male,Sports and travel,345.786,2019-01-11,10:37,Credit card,16.466,7.5,5,Fri,11
478-06-7835,Yangon,Normal,Male,Fashion accessories,94.1745,2019-01-11,11:20,Ewallet,4.4845,4.9,5,Fri,11
406-46-7107,Yangon,Normal,Female,Home and lifestyle,608.076,2019-01-11,11:52,Cash,28.956,4.5,5,Fri,11
130-67-4723,Yangon,Member,Male,Food and beverages,305.55,2019-01-11,13:57,Ewallet,14.55,9.4,5,Fri,11
746-68-6593,Naypyitaw,Member,Female,Sports and travel,183.036,2019-01-11,14:29,Credit card,8.716,9.7,5,Fri,11
540-11-4336,Yangon,Normal,Male,Food and beverages,235.683,2019-01-11,16:49,Credit card,11.223,5.6,5,Fri,11
732-67-5346,Yangon,Normal,Male,Food and beverages,72.3975,2019-01-11,19:07,Credit card,3.4475,7.8,5,Fri,11
592-46-1692,Naypyitaw,Member,Female,Food and beverages,270.2595,2019-01-11,20:10,Cash,12.8695,7.4,5,Fri,11
852-62-7105,Mandalay,Normal,Female,Fashion accessories,874.125,2019-01-12,11:25,Credit card,41.625,4.4,6,Sat,12
533-66-5566,Mandalay,Normal,Female,Home and lifestyle,375.3645,2019-01-12,11:42,Cash,17.8745,7.0,6,Sat,12
659-36-1684,Naypyitaw,Member,Male,Sports and travel,419.832,2019-01-12,12:02,Credit card,19.992,6.5,6,Sat,12
704-48-3927,Yangon,Member,Male,Electronic accessories,931.035,2019-01-12,14:50,Ewallet,44.335,7.3,6,Sat,12
381-20-0914,Yangon,Member,Female,Fashion accessories,189.0945,2019-01-12,15:48,Credit card,9.0045,5.7,6,Sat,12
751-41-9720,Naypyitaw,Normal,Male,Home and lifestyle,1023.75,2019-01-12,16:18,Ewallet,48.75,8.0,6,Sat,12
647-50-1224,Yangon,Normal,Female,Fashion accessories,308.91,2019-01-12,16:23,Ewallet,14.71,8.9,6,Sat,12
751-15-6198,Mandalay,Normal,Male,Sports and travel,144.963,2019-01-12,16:45,Ewallet,6.903,7.9,6,Sat,12
848-07-1692,Mandalay,Normal,Female,Health and beauty,120.162,2019-01-12,17:13,Ewallet,5.722,8.3,6,Sat,12
197-77-7132,Mandalay,Member,Male,Electronic accessories,769.104,2019-01-12,18:22,Ewallet,36.624,6.0,6,Sat,12
296-11-7041,Mandalay,Member,Female,Health and beauty,28.4235,2019-01-12,20:07,Credit card,1.3535,5.3,6,Sat,12
460-93-5834,Yangon,Normal,Male,Sports and travel,335.013,2019-01-13,10:03,Cash,15.953,5.0,0,Sun,13
195-06-0432,Yangon,Member,Male,Home and lifestyle,255.1815,2019-01-13,12:55,Credit card,12.1515,9.3,0,Sun,13
784-08-0310,Naypyitaw,Member,Female,Food and beverages,88.368,2019-01-13,13:58,Cash,4.208,7.6,0,Sun,13
339-38-9982,Mandalay,Member,Male,Fashion accessories,125.706,2019-01-13,14:55,Ewallet,5.986,6.7,0,Sun,13
732-94-0499,Naypyitaw,Normal,Female,Electronic accessories,437.325,2019-01-13,17:04,Credit card,20.825,5.4,0,Sun,13
397-25-8725,Yangon,Member,Female,Health and beauty,374.409,2019-01-13,17:54,Credit card,17.829,6.8,0,Sun,13
459-50-7686,Yangon,Normal,Female,Electronic accessories,147.798,2019-01-13,19:14,Ewallet,7.038,6.4,0,Sun,13
556-86-3144,Naypyitaw,Member,Female,Fashion accessories,78.0045,2019-01-13,19:30,Cash,3.7145,5.0,0,Sun,13
327-40-9673,Mandalay,Member,Male,Sports and travel,457.38,2019-01-13,19:51,Cash,21.78,6.9,0,Sun,13
355-34-6244,Mandalay,Normal,Male,Food and beverages,152.019,2019-01-13,19:55,Credit card,7.239,8.1,0,Sun,13
426-39-2418,Naypyitaw,Normal,Male,Electronic accessories,451.3635,2019-01-14,10:02,Cash,21.4935,9.8,1,Mon,14
320-85-2052,Mandalay,Normal,Female,Sports and travel,36.5505,2019-01-14,10:11,Credit card,1.7405,7.0,1,Mon,14
559-61-5987,Mandalay,Normal,Female,Health and beauty,18.6375,2019-01-14,10:38,Cash,0.8875,8.6,1,Mon,14
704-10-4056,Naypyitaw,Member,Male,Health and beauty,190.4805,2019-01-14,10:55,Credit card,9.0705,5.6,1,Mon,14
868-52-7573,Mandalay,Normal,Female,Food and beverages,523.3725,2019-01-14,12:09,Cash,24.9225,9.9,1,Mon,14
667-23-5919,Yangon,Member,Female,Fashion accessories,507.675,2019-01-14,12:52,Ewallet,24.175,7.0,1,Mon,14
377-79-7592,Naypyitaw,Member,Female,Electronic accessories,423.738,2019-01-14,14:00,Credit card,20.178,7.5,1,Mon,14
592-34-6155,Naypyitaw,Normal,Male,Food and beverages,133.434,2019-01-14,14:43,Ewallet,6.354,6.2,1,Mon,14
451-73-2711,Naypyitaw,Normal,Male,Food and beverages,89.0715,2019-01-14,15:20,Ewallet,4.2415,8.8,1,Mon,14
658-66-3967,Naypyitaw,Normal,Male,Health and beauty,390.9465,2019-01-14,15:42,Ewallet,18.6165,5.0,1,Mon,14
359-90-3665,Mandalay,Member,Female,Fashion accessories,75.936,2019-01-14,18:03,Credit card,3.616,9.5,1,Mon,14
785-13-7708,Mandalay,Normal,Male,Food and beverages,536.991,2019-01-14,19:06,Credit card,25.571,4.2,1,Mon,14
588-47-8641,Yangon,Member,Male,Fashion accessories,588.42,2019-01-14,19:30,Ewallet,28.02,4.4,1,Mon,14
301-11-9629,Yangon,Normal,Female,Sports and travel,140.385,2019-01-15,10:43,Cash,6.685,9.7,2,Tue,15
589-02-8023,Yangon,Member,Male,Food and beverages,175.917,2019-01-15,10:54,Credit card,8.377,7.0,2,Tue,15
437-58-8131,Mandalay,Normal,Female,Fashion accessories,154.392,2019-01-15,13:41,Ewallet,7.352,4.6,2,Tue,15
744-16-7898,Mandalay,Normal,Female,Home and lifestyle,1022.385,2019-01-15,13:48,Credit card,48.685,4.9,2,Tue,15
188-55-0967,Mandalay,Member,Male,Health and beauty,697.935,2019-01-15,15:01,Credit card,33.235,5.0,2,Tue,15
660-29-7083,Naypyitaw,Normal,Male,Electronic accessories,586.635,2019-01-15,15:01,Cash,27.935,5.8,2,Tue,15
138-17-5109,Yangon,Member,Female,Home and lifestyle,843.0345,2019-01-15,15:42,Credit card,40.1445,6.5,2,Tue,15
299-46-1805,Mandalay,Member,Female,Sports and travel,590.436,2019-01-15,16:19,Cash,28.116,4.5,2,Tue,15
272-65-1806,Yangon,Normal,Female,Electronic accessories,575.316,2019-01-15,17:17,Ewallet,27.396,4.7,2,Tue,15
886-54-6089,Yangon,Normal,Female,Home and lifestyle,72.009,2019-01-15,17:24,Cash,3.429,7.7,2,Tue,15
369-82-2676,Mandalay,Normal,Male,Electronic accessories,397.215,2019-01-15,18:22,Ewallet,18.915,7.8,2,Tue,15
450-28-2866,Naypyitaw,Member,Male,Food and beverages,91.56,2019-01-15,19:25,Cash,4.36,8.1,2,Tue,15
314-23-4520,Naypyitaw,Member,Male,Health and beauty,597.0405,2019-01-15,20:44,Cash,28.4305,9.0,2,Tue,15
842-29-4695,Naypyitaw,Member,Male,Sports and travel,125.979,2019-01-16,12:07,Credit card,5.999,7.9,3,Wed,16
234-65-2137,Naypyitaw,Normal,Male,Home and lifestyle,1003.59,2019-01-16,13:32,Cash,47.79,4.8,3,Wed,16
372-62-5264,Naypyitaw,Normal,Female,Food and beverages,497.07,2019-01-16,14:42,Cash,23.67,7.6,3,Wed,16
859-71-0933,Naypyitaw,Member,Female,Sports and travel,32.529,2019-01-16,15:10,Cash,1.549,6.3,3,Wed,16
659-65-8956,Mandalay,Member,Male,Fashion accessories,53.928,2019-01-16,15:26,Ewallet,2.568,5.2,3,Wed,16
648-83-1321,Yangon,Member,Male,Home and lifestyle,667.38,2019-01-16,17:59,Cash,31.78,4.3,3,Wed,16
347-72-6115,Mandalay,Member,Female,Sports and travel,666.939,2019-01-16,18:03,Credit card,31.759,6.2,3,Wed,16
677-11-0152,Naypyitaw,Normal,Female,Food and beverages,881.307,2019-01-16,18:08,Cash,41.967,8.8,3,Wed,16
618-34-8551,Yangon,Normal,Female,Sports and travel,195.678,2019-01-16,18:41,Credit card,9.318,8.5,3,Wed,16
286-62-6248,Mandalay,Normal,Male,Fashion accessories,164.682,2019-01-16,20:03,Credit card,7.842,9.0,3,Wed,16
679-22-6530,Mandalay,Normal,Female,Sports and travel,85.302,2019-01-17,10:01,Credit card,4.062,4.1,4,Thu,17
349-97-8902,Mandalay,Member,Male,Food and beverages,121.569,2019-01-17,10:37,Ewallet,5.789,8.9,4,Thu,17
101-81-4070,Naypyitaw,Member,Female,Health and beauty,131.922,2019-01-17,12:36,Ewallet,6.282,4.9,4,Thu,17
746-54-5508,Yangon,Normal,Male,Home and lifestyle,135.576,2019-01-17,12:48,Credit card,6.456,9.4,4,Thu,17
698-98-5964,Yangon,Normal,Female,Food and beverages,852.705,2019-01-17,13:01,Credit card,40.605,6.3,4,Thu,17
600-38-9738,Naypyitaw,Member,Male,Sports and travel,377.58,2019-01-17,15:05,Credit card,17.98,4.3,4,Thu,17
497-37-6538,Yangon,Normal,Male,Sports and travel,432.9885,2019-01-17,15:15,Ewallet,20.6185,9.7,4,Thu,17
670-79-6321,Mandalay,Member,Female,Home and lifestyle,695.2365,2019-01-17,15:27,Credit card,33.1065,4.9,4,Thu,17
200-16-5952,Naypyitaw,Member,Male,Food and beverages,137.865,2019-01-17,16:46,Cash,6.565,6.0,4,Thu,17
445-30-9252,Yangon,Normal,Male,Sports and travel,80.955,2019-01-17,17:59,Ewallet,3.855,6.1,4,Thu,17
280-35-5823,Mandalay,Member,Female,Home and lifestyle,91.056,2019-01-17,18:45,Ewallet,4.336,7.9,4,Thu,17
562-12-5430,Yangon,Member,Female,Fashion accessories,277.6725,2019-01-18,10:11,Ewallet,13.2225,7.9,5,Fri,18
414-12-7047,Mandalay,Normal,Male,Food and beverages,166.236,2019-01-18,12:04,Ewallet,7.916,8.7,5,Fri,18
821-14-9046,Mandalay,Member,Female,Fashion accessories,110.124,2019-01-18,15:04,Credit card,5.244,6.1,5,Fri,18
622-20-1945,Naypyitaw,Normal,Female,Health and beauty,41.391,2019-01-18,15:08,Cash,1.971,8.4,5,Fri,18
678-79-0726,Naypyitaw,Member,Female,Sports and travel,856.4535,2019-01-18,15:28,Cash,40.7835,5.1,5,Fri,18
781-84-8059,Naypyitaw,Normal,Male,Fashion accessories,446.439,2019-01-18,16:23,Ewallet,21.259,5.0,5,Fri,18
166-19-2553,Yangon,Member,Male,Sports and travel,561.078,2019-01-18,17:26,Cash,26.718,9.9,5,Fri,18
706-36-6154,Yangon,Member,Male,Home and lifestyle,182.952,2019-01-18,18:43,Ewallet,8.712,8.7,5,Fri,18
700-81-1757,Yangon,Normal,Female,Electronic accessories,138.1275,2019-01-18,20:59,Credit card,6.5775,8.8,5,Fri,18
761-49-0439,Mandalay,Member,Female,Electronic accessories,101.64,2019-01-19,10:17,Ewallet,4.84,8.6,6,Sat,19
779-06-0012,Naypyitaw,Member,Female,Home and lifestyle,93.0405,2019-01-19,10:21,Cash,4.4305,7.7,6,Sat,19
151-27-8496,Naypyitaw,Normal,Female,Electronic accessories,235.746,2019-01-19,11:43,Ewallet,11.226,8.6,6,Sat,19
728-47-9078,Naypyitaw,Member,Male,Food and beverages,250.278,2019-01-19,12:46,Cash,11.918,9.8,6,Sat,19
482-17-1179,Yangon,Member,Male,Electronic accessories,37.611,2019-01-19,12:47,Credit card,1.791,8.1,6,Sat,19
125-45-2293,Yangon,Normal,Female,Fashion accessories,624.33,2019-01-19,13:11,Cash,29.73,4.2,6,Sat,19
149-61-1929,Yangon,Normal,Male,Sports and travel,673.995,2019-01-19,14:08,Credit card,32.095,6.7,6,Sat,19
882-40-4577,Yangon,Member,Male,Sports and travel,282.492,2019-01-19,15:28,Credit card,13.452,8.0,6,Sat,19
375-72-3056,Mandalay,Normal,Male,Sports and travel,198.639,2019-01-19,15:58,Ewallet,9.459,7.0,6,Sat,19
284-54-4231,Naypyitaw,Member,Male,Sports and travel,84.9765,2019-01-19,16:08,Credit card,4.0465,9.0,6,Sat,19
796-32-9050,Yangon,Normal,Male,Food and beverages,323.064,2019-01-19,16:31,Cash,15.384,6.5,6,Sat,19
608-27-6295,Mandalay,Member,Male,Electronic accessories,333.207,2019-01-19,17:34,Credit card,15.867,9.8,6,Sat,19
809-69-9497,Yangon,Normal,Female,Home and lifestyle,479.64,2019-01-19,19:30,Ewallet,22.84,5.7,6,Sat,19
894-41-5205,Naypyitaw,Normal,Female,Food and beverages,362.712,2019-01-19,19:39,Credit card,17.272,8.3,6,Sat,19
645-44-1170,Yangon,Member,Male,Home and lifestyle,548.7615,2019-01-19,20:07,Ewallet,26.1315,4.3,6,Sat,19
832-51-6761,Yangon,Normal,Male,Food and beverages,284.592,2019-01-19,20:29,Ewallet,13.552,9.6,6,Sat,19
725-96-3778,Naypyitaw,Member,Female,Home and lifestyle,749.7,2019-01-20,10:13,Cash,35.7,4.7,0,Sun,20
458-10-8612,Naypyitaw,Normal,Male,Health and beauty,470.988,2019-01-20,12:27,Ewallet,22.428,7.6,0,Sun,20
356-44-8813,Mandalay,Normal,Male,Home and lifestyle,118.062,2019-01-20,13:45,Credit card,5.622,7.7,0,Sun,20
787-87-2010,Yangon,Member,Male,Health and beauty,233.1,2019-01-20,15:48,Credit card,11.1,6.6,0,Sun,20
817-48-8732,Yangon,Member,Female,Home and lifestyle,759.675,2019-01-20,15:55,Cash,36.175,5.4,0,Sun,20
257-73-1380,Naypyitaw,Member,Male,Sports and travel,348.306,2019-01-20,16:51,Ewallet,16.586,9.6,0,Sun,20
410-67-1709,Yangon,Member,Female,Fashion accessories,536.592,2019-01-20,17:48,Ewallet,25.552,9.9,0,Sun,20
645-78-8093,Yangon,Normal,Female,Sports and travel,195.594,2019-01-20,18:09,Ewallet,9.314,4.1,0,Sun,20
760-27-5490,Naypyitaw,Normal,Male,Fashion accessories,131.208,2019-01-20,20:37,Ewallet,6.248,9.1,0,Sun,20
378-24-2715,Mandalay,Normal,Male,Home and lifestyle,112.224,2019-01-20,20:38,Ewallet,5.344,4.1,0,Sun,20
316-68-6352,Yangon,Member,Female,Food and beverages,76.356,2019-01-21,10:00,Cash,3.636,7.1,1,Mon,21
870-72-4431,Naypyitaw,Normal,Female,Health and beauty,624.897,2019-01-21,14:42,Credit card,29.757,5.5,1,Mon,21
239-10-7476,Yangon,Normal,Female,Home and lifestyle,491.085,2019-01-21,16:37,Ewallet,23.385,8.0,1,Mon,21
401-18-8016,Mandalay,Member,Female,Sports and travel,103.0365,2019-01-21,17:36,Cash,4.9065,8.9,1,Mon,21
462-67-9126,Yangon,Normal,Male,Home and lifestyle,461.286,2019-01-21,17:44,Cash,21.966,7.2,1,Mon,21
329-62-1586,Yangon,Normal,Male,Food and beverages,172.2105,2019-01-21,18:00,Credit card,8.2005,8.6,1,Mon,21
269-10-8440,Yangon,Member,Male,Health and beauty,390.7995,2019-01-21,18:01,Cash,18.6095,8.9,1,Mon,21
